,Location,Times,Tweets
132,Washington,2018-02-28 09:00:00,25
133,Washington,2018-02-28 09:15:00,19
134,Washington,2018-02-28 09:30:00,12
135,Washington,2018-02-28 09:45:00,15
136,Washington,2018-02-28 10:00:00,16
137,Washington,2018-02-28 10:15:00,13
138,Washington,2018-02-28 10:30:00,25
139,Washington,2018-02-28 10:45:00,20
140,Washington,2018-02-28 11:00:00,31
141,Washington,2018-02-28 11:15:00,16
142,Washington,2018-02-28 11:30:00,19
143,Washington,2018-02-28 11:45:00,18
144,Washington,2018-02-28 12:00:00,9
145,Washington,2018-02-28 12:15:00,13
146,Washington,2018-02-28 12:30:00,12
147,Washington,2018-02-28 12:45:00,10
148,Washington,2018-02-28 13:00:00,29
149,Washington,2018-02-28 13:15:00,17
150,Washington,2018-02-28 13:30:00,16
151,Washington,2018-02-28 13:45:00,24
152,Washington,2018-02-28 14:00:00,26
153,Washington,2018-02-28 14:15:00,8
154,Washington,2018-02-28 14:30:00,18
155,Washington,2018-02-28 14:45:00,14
156,Washington,2018-02-28 15:00:00,17
157,Washington,2018-02-28 15:15:00,11
158,Washington,2018-02-28 15:30:00,15
159,Washington,2018-02-28 15:45:00,13
160,Washington,2018-02-28 16:00:00,8
161,Washington,2018-02-28 16:15:00,9
162,Washington,2018-02-28 16:30:00,9
163,Washington,2018-02-28 16:45:00,8
164,Washington,2018-02-28 17:00:00,7
165,Washington,2018-02-28 17:15:00,8
166,Washington,2018-02-28 17:30:00,18
167,Washington,2018-02-28 17:45:00,8
168,Washington,2018-02-28 18:00:00,7
169,Washington,2018-02-28 18:15:00,9
170,Washington,2018-02-28 18:30:00,11
171,Washington,2018-02-28 18:45:00,10
172,Washington,2018-02-28 19:00:00,17
173,Washington,2018-02-28 19:15:00,17
174,Washington,2018-02-28 19:30:00,18
175,Washington,2018-02-28 19:45:00,14
176,Washington,2018-02-28 20:00:00,11
177,Washington,2018-02-28 20:15:00,11
178,Washington,2018-02-28 20:30:00,10
179,Washington,2018-02-28 20:45:00,6
180,Washington,2018-02-28 21:00:00,15
181,Washington,2018-02-28 21:15:00,18
182,Washington,2018-02-28 21:30:00,20
183,Washington,2018-02-28 21:45:00,20
184,Washington,2018-02-28 22:00:00,17
185,Washington,2018-02-28 22:15:00,20
186,Washington,2018-02-28 22:30:00,15
187,Washington,2018-02-28 22:45:00,6
188,Washington,2018-02-28 23:00:00,14
189,Washington,2018-02-28 23:15:00,15
190,Washington,2018-02-28 23:30:00,5
191,Washington,2018-02-28 23:45:00,19
192,Washington,2018-03-01 00:00:00,9
193,Washington,2018-03-01 00:15:00,8
194,Washington,2018-03-01 00:30:00,6
195,Washington,2018-03-01 00:45:00,14
196,Washington,2018-03-01 01:00:00,9
197,Washington,2018-03-01 01:15:00,1
198,Washington,2018-03-01 01:30:00,9
199,Washington,2018-03-01 01:45:00,7
200,Washington,2018-03-01 02:00:00,9
201,Washington,2018-03-01 02:15:00,31
202,Washington,2018-03-01 02:30:00,25
203,Washington,2018-03-01 02:45:00,20
204,Washington,2018-03-01 03:00:00,15
205,Washington,2018-03-01 03:15:00,12
206,Washington,2018-03-01 03:30:00,10
207,Washington,2018-03-01 03:45:00,5
208,Washington,2018-03-01 04:00:00,0
209,Washington,2018-03-01 04:15:00,1
210,Washington,2018-03-01 04:30:00,0
211,Washington,2018-03-01 04:45:00,0
212,Washington,2018-03-01 05:00:00,0
213,Washington,2018-03-01 05:15:00,3
214,Washington,2018-03-01 05:30:00,2
215,Washington,2018-03-01 05:45:00,1
216,Washington,2018-03-01 06:00:00,1
217,Washington,2018-03-01 06:15:00,1
218,Washington,2018-03-01 06:30:00,2
219,Washington,2018-03-01 06:45:00,3
220,Washington,2018-03-01 07:00:00,2
221,Washington,2018-03-01 07:15:00,1
222,Washington,2018-03-01 07:30:00,2
223,Washington,2018-03-01 07:45:00,5
224,Washington,2018-03-01 08:00:00,6
225,Washington,2018-03-01 08:15:00,6
226,Washington,2018-03-01 08:30:00,6
227,Washington,2018-03-01 08:45:00,6
228,Washington,2018-03-01 09:00:00,8
229,Washington,2018-03-01 09:15:00,10
230,Washington,2018-03-01 09:30:00,5
231,Washington,2018-03-01 09:45:00,10
232,Washington,2018-03-01 10:00:00,2
233,Washington,2018-03-01 10:15:00,7
234,Washington,2018-03-01 10:30:00,2
235,Washington,2018-03-01 10:45:00,6
