,Location,Times,Tweets
0,Washington,2018-02-27 00:00:00,30
1,Washington,2018-02-27 01:00:00,26
2,Washington,2018-02-27 02:00:00,15
3,Washington,2018-02-27 03:00:00,11
4,Washington,2018-02-27 04:00:00,8
5,Washington,2018-02-27 05:00:00,14
6,Washington,2018-02-27 06:00:00,10
7,Washington,2018-02-27 07:00:00,11
8,Washington,2018-02-27 08:00:00,15
9,Washington,2018-02-27 09:00:00,29
10,Washington,2018-02-27 10:00:00,47
11,Washington,2018-02-27 11:00:00,69
12,Washington,2018-02-27 12:00:00,42
13,Washington,2018-02-27 13:00:00,36
14,Washington,2018-02-27 14:00:00,43
15,Washington,2018-02-27 15:00:00,67
16,Washington,2018-02-27 16:00:00,43
17,Washington,2018-02-27 17:00:00,53
18,Washington,2018-02-27 18:00:00,45
19,Washington,2018-02-27 19:00:00,45
20,Washington,2018-02-27 20:00:00,22
21,Washington,2018-02-27 21:00:00,39
22,Washington,2018-02-27 22:00:00,33
23,Washington,2018-02-27 23:00:00,25
24,Washington,2018-02-28 00:00:00,20
25,Washington,2018-02-28 01:00:00,15
26,Washington,2018-02-28 02:00:00,30
27,Washington,2018-02-28 03:00:00,26
28,Washington,2018-02-28 04:00:00,6
29,Washington,2018-02-28 05:00:00,3
30,Washington,2018-02-28 06:00:00,8
31,Washington,2018-02-28 07:00:00,26
32,Washington,2018-02-28 08:00:00,59
33,Washington,2018-02-28 09:00:00,71
34,Washington,2018-02-28 10:00:00,74
35,Washington,2018-02-28 11:00:00,84
36,Washington,2018-02-28 12:00:00,44
37,Washington,2018-02-28 13:00:00,86
38,Washington,2018-02-28 14:00:00,66
39,Washington,2018-02-28 15:00:00,56
40,Washington,2018-02-28 16:00:00,34
41,Washington,2018-02-28 17:00:00,41
42,Washington,2018-02-28 18:00:00,37
43,Washington,2018-02-28 19:00:00,66
44,Washington,2018-02-28 20:00:00,38
45,Washington,2018-02-28 21:00:00,73
46,Washington,2018-02-28 22:00:00,58
47,Washington,2018-02-28 23:00:00,53
48,Washington,2018-03-01 00:00:00,37
49,Washington,2018-03-01 01:00:00,26
50,Washington,2018-03-01 02:00:00,85
51,Washington,2018-03-01 03:00:00,42
52,Washington,2018-03-01 04:00:00,1
53,Washington,2018-03-01 05:00:00,6
54,Washington,2018-03-01 06:00:00,7
55,Washington,2018-03-01 07:00:00,10
56,Washington,2018-03-01 08:00:00,24
57,Washington,2018-03-01 09:00:00,33
58,Washington,2018-03-01 10:00:00,17
59,Washington,2018-03-01 11:00:00,41
60,Washington,2018-03-01 12:00:00,29
61,Washington,2018-03-01 13:00:00,47
62,Washington,2018-03-01 14:00:00,18
63,Washington,2018-03-01 15:00:00,42
64,Washington,2018-03-01 16:00:00,50
65,Washington,2018-03-01 17:00:00,78
66,Washington,2018-03-01 18:00:00,113
67,Washington,2018-03-01 19:00:00,55
68,Washington,2018-03-01 20:00:00,123
69,Washington,2018-03-01 21:00:00,68
70,Washington,2018-03-01 22:00:00,50
71,Washington,2018-03-01 23:00:00,34
72,Washington,2018-03-02 00:00:00,23
73,Washington,2018-03-02 01:00:00,20
74,Washington,2018-03-02 02:00:00,13
75,Washington,2018-03-02 03:00:00,18
76,Washington,2018-03-02 04:00:00,15
77,Washington,2018-03-02 05:00:00,14
78,Washington,2018-03-02 06:00:00,4
79,Washington,2018-03-02 07:00:00,22
80,Washington,2018-03-02 08:00:00,25
81,Washington,2018-03-02 09:00:00,28
82,Washington,2018-03-02 10:00:00,49
83,Washington,2018-03-02 11:00:00,91
84,Washington,2018-03-02 12:00:00,90
85,Washington,2018-03-02 13:00:00,77
86,Washington,2018-03-02 14:00:00,45
87,Washington,2018-03-02 15:00:00,39
88,Washington,2018-03-02 16:00:00,54
89,Washington,2018-03-02 17:00:00,39
90,Washington,2018-03-02 18:00:00,30
91,Washington,2018-03-02 19:00:00,28
92,Washington,2018-03-02 20:00:00,26
93,Washington,2018-03-02 21:00:00,18
94,Washington,2018-03-02 22:00:00,30
95,Washington,2018-03-02 23:00:00,31
96,Washington,2018-03-03 00:00:00,0
97,Oregon,2018-02-27 00:00:00,14
98,Oregon,2018-02-27 01:00:00,13
99,Oregon,2018-02-27 02:00:00,4
100,Oregon,2018-02-27 03:00:00,1
101,Oregon,2018-02-27 04:00:00,0
102,Oregon,2018-02-27 05:00:00,1
103,Oregon,2018-02-27 06:00:00,3
104,Oregon,2018-02-27 07:00:00,4
105,Oregon,2018-02-27 08:00:00,7
106,Oregon,2018-02-27 09:00:00,18
107,Oregon,2018-02-27 10:00:00,21
108,Oregon,2018-02-27 11:00:00,31
109,Oregon,2018-02-27 12:00:00,15
110,Oregon,2018-02-27 13:00:00,35
111,Oregon,2018-02-27 14:00:00,17
112,Oregon,2018-02-27 15:00:00,28
113,Oregon,2018-02-27 16:00:00,37
114,Oregon,2018-02-27 17:00:00,38
115,Oregon,2018-02-27 18:00:00,32
116,Oregon,2018-02-27 19:00:00,19
117,Oregon,2018-02-27 20:00:00,16
118,Oregon,2018-02-27 21:00:00,33
119,Oregon,2018-02-27 22:00:00,28
120,Oregon,2018-02-27 23:00:00,27
121,Oregon,2018-02-28 00:00:00,20
122,Oregon,2018-02-28 01:00:00,15
123,Oregon,2018-02-28 02:00:00,5
124,Oregon,2018-02-28 03:00:00,9
125,Oregon,2018-02-28 04:00:00,0
126,Oregon,2018-02-28 05:00:00,2
127,Oregon,2018-02-28 06:00:00,1
128,Oregon,2018-02-28 07:00:00,7
129,Oregon,2018-02-28 08:00:00,14
130,Oregon,2018-02-28 09:00:00,28
131,Oregon,2018-02-28 10:00:00,51
132,Oregon,2018-02-28 11:00:00,50
133,Oregon,2018-02-28 12:00:00,24
134,Oregon,2018-02-28 13:00:00,29
135,Oregon,2018-02-28 14:00:00,12
136,Oregon,2018-02-28 15:00:00,56
137,Oregon,2018-02-28 16:00:00,39
138,Oregon,2018-02-28 17:00:00,26
139,Oregon,2018-02-28 18:00:00,46
140,Oregon,2018-02-28 19:00:00,21
141,Oregon,2018-02-28 20:00:00,19
142,Oregon,2018-02-28 21:00:00,39
143,Oregon,2018-02-28 22:00:00,34
144,Oregon,2018-02-28 23:00:00,16
145,Oregon,2018-03-01 00:00:00,19
146,Oregon,2018-03-01 01:00:00,10
147,Oregon,2018-03-01 02:00:00,11
148,Oregon,2018-03-01 03:00:00,4
149,Oregon,2018-03-01 04:00:00,3
150,Oregon,2018-03-01 05:00:00,3
151,Oregon,2018-03-01 06:00:00,0
152,Oregon,2018-03-01 07:00:00,6
153,Oregon,2018-03-01 08:00:00,12
154,Oregon,2018-03-01 09:00:00,19
155,Oregon,2018-03-01 10:00:00,17
156,Oregon,2018-03-01 11:00:00,16
157,Oregon,2018-03-01 12:00:00,9
158,Oregon,2018-03-01 13:00:00,24
159,Oregon,2018-03-01 14:00:00,16
160,Oregon,2018-03-01 15:00:00,29
161,Oregon,2018-03-01 16:00:00,13
162,Oregon,2018-03-01 17:00:00,42
163,Oregon,2018-03-01 18:00:00,64
164,Oregon,2018-03-01 19:00:00,39
165,Oregon,2018-03-01 20:00:00,30
166,Oregon,2018-03-01 21:00:00,41
167,Oregon,2018-03-01 22:00:00,23
168,Oregon,2018-03-01 23:00:00,33
169,Oregon,2018-03-02 00:00:00,11
170,Oregon,2018-03-02 01:00:00,13
171,Oregon,2018-03-02 02:00:00,9
172,Oregon,2018-03-02 03:00:00,4
173,Oregon,2018-03-02 04:00:00,2
174,Oregon,2018-03-02 05:00:00,4
175,Oregon,2018-03-02 06:00:00,1
176,Oregon,2018-03-02 07:00:00,6
177,Oregon,2018-03-02 08:00:00,20
178,Oregon,2018-03-02 09:00:00,29
179,Oregon,2018-03-02 10:00:00,19
180,Oregon,2018-03-02 11:00:00,32
181,Oregon,2018-03-02 12:00:00,50
182,Oregon,2018-03-02 13:00:00,25
183,Oregon,2018-03-02 14:00:00,30
184,Oregon,2018-03-02 15:00:00,19
185,Oregon,2018-03-02 16:00:00,38
186,Oregon,2018-03-02 17:00:00,19
187,Oregon,2018-03-02 18:00:00,23
188,Oregon,2018-03-02 19:00:00,17
189,Oregon,2018-03-02 20:00:00,19
190,Oregon,2018-03-02 21:00:00,8
191,Oregon,2018-03-02 22:00:00,11
192,Oregon,2018-03-02 23:00:00,14
193,Oregon,2018-03-03 00:00:00,0
194,Florida,2018-02-27 00:00:00,56
195,Florida,2018-02-27 01:00:00,28
196,Florida,2018-02-27 02:00:00,23
197,Florida,2018-02-27 03:00:00,9
198,Florida,2018-02-27 04:00:00,17
199,Florida,2018-02-27 05:00:00,24
200,Florida,2018-02-27 06:00:00,34
201,Florida,2018-02-27 07:00:00,59
202,Florida,2018-02-27 08:00:00,85
203,Florida,2018-02-27 09:00:00,102
204,Florida,2018-02-27 10:00:00,109
205,Florida,2018-02-27 11:00:00,106
206,Florida,2018-02-27 12:00:00,99
207,Florida,2018-02-27 13:00:00,95
208,Florida,2018-02-27 14:00:00,130
209,Florida,2018-02-27 15:00:00,88
210,Florida,2018-02-27 16:00:00,102
211,Florida,2018-02-27 17:00:00,152
212,Florida,2018-02-27 18:00:00,88
213,Florida,2018-02-27 19:00:00,95
214,Florida,2018-02-27 20:00:00,94
215,Florida,2018-02-27 21:00:00,101
216,Florida,2018-02-27 22:00:00,100
217,Florida,2018-02-27 23:00:00,56
218,Florida,2018-02-28 00:00:00,45
219,Florida,2018-02-28 01:00:00,26
220,Florida,2018-02-28 02:00:00,12
221,Florida,2018-02-28 03:00:00,13
222,Florida,2018-02-28 04:00:00,11
223,Florida,2018-02-28 05:00:00,17
224,Florida,2018-02-28 06:00:00,46
225,Florida,2018-02-28 07:00:00,102
226,Florida,2018-02-28 08:00:00,170
227,Florida,2018-02-28 09:00:00,188
228,Florida,2018-02-28 10:00:00,162
229,Florida,2018-02-28 11:00:00,137
230,Florida,2018-02-28 12:00:00,145
231,Florida,2018-02-28 13:00:00,138
232,Florida,2018-02-28 14:00:00,114
233,Florida,2018-02-28 15:00:00,86
234,Florida,2018-02-28 16:00:00,125
235,Florida,2018-02-28 17:00:00,114
236,Florida,2018-02-28 18:00:00,87
237,Florida,2018-02-28 19:00:00,148
238,Florida,2018-02-28 20:00:00,113
239,Florida,2018-02-28 21:00:00,150
240,Florida,2018-02-28 22:00:00,118
241,Florida,2018-02-28 23:00:00,69
242,Florida,2018-03-01 00:00:00,38
243,Florida,2018-03-01 01:00:00,17
244,Florida,2018-03-01 02:00:00,77
245,Florida,2018-03-01 03:00:00,5
246,Florida,2018-03-01 04:00:00,9
247,Florida,2018-03-01 05:00:00,20
248,Florida,2018-03-01 06:00:00,45
249,Florida,2018-03-01 07:00:00,68
250,Florida,2018-03-01 08:00:00,59
251,Florida,2018-03-01 09:00:00,69
252,Florida,2018-03-01 10:00:00,79
253,Florida,2018-03-01 11:00:00,70
254,Florida,2018-03-01 12:00:00,75
255,Florida,2018-03-01 13:00:00,73
256,Florida,2018-03-01 14:00:00,57
257,Florida,2018-03-01 15:00:00,55
258,Florida,2018-03-01 16:00:00,84
259,Florida,2018-03-01 17:00:00,150
260,Florida,2018-03-01 18:00:00,109
261,Florida,2018-03-01 19:00:00,86
262,Florida,2018-03-01 20:00:00,92
263,Florida,2018-03-01 21:00:00,77
264,Florida,2018-03-01 22:00:00,63
265,Florida,2018-03-01 23:00:00,53
266,Florida,2018-03-02 00:00:00,34
267,Florida,2018-03-02 01:00:00,10
268,Florida,2018-03-02 02:00:00,21
269,Florida,2018-03-02 03:00:00,16
270,Florida,2018-03-02 04:00:00,11
271,Florida,2018-03-02 05:00:00,14
272,Florida,2018-03-02 06:00:00,37
273,Florida,2018-03-02 07:00:00,78
274,Florida,2018-03-02 08:00:00,72
275,Florida,2018-03-02 09:00:00,70
276,Florida,2018-03-02 10:00:00,144
277,Florida,2018-03-02 11:00:00,156
278,Florida,2018-03-02 12:00:00,155
279,Florida,2018-03-02 13:00:00,107
280,Florida,2018-03-02 14:00:00,98
281,Florida,2018-03-02 15:00:00,76
282,Florida,2018-03-02 16:00:00,82
283,Florida,2018-03-02 17:00:00,86
284,Florida,2018-03-02 18:00:00,63
285,Florida,2018-03-02 19:00:00,57
286,Florida,2018-03-02 20:00:00,64
287,Florida,2018-03-02 21:00:00,54
288,Florida,2018-03-02 22:00:00,54
289,Florida,2018-03-02 23:00:00,50
290,Florida,2018-03-03 00:00:00,0
291,Vermont,2018-02-27 00:00:00,1
292,Vermont,2018-02-27 01:00:00,0
293,Vermont,2018-02-27 02:00:00,0
294,Vermont,2018-02-27 03:00:00,0
295,Vermont,2018-02-27 04:00:00,0
296,Vermont,2018-02-27 05:00:00,0
297,Vermont,2018-02-27 06:00:00,0
298,Vermont,2018-02-27 07:00:00,0
299,Vermont,2018-02-27 08:00:00,5
