,Location,Times,Tweets
0,Washington,2018-02-27 00:00:00,13
1,Washington,2018-02-27 00:30:00,17
2,Washington,2018-02-27 01:00:00,13
3,Washington,2018-02-27 01:30:00,13
4,Washington,2018-02-27 02:00:00,11
5,Washington,2018-02-27 02:30:00,4
6,Washington,2018-02-27 03:00:00,5
7,Washington,2018-02-27 03:30:00,6
8,Washington,2018-02-27 04:00:00,2
9,Washington,2018-02-27 04:30:00,6
10,Washington,2018-02-27 05:00:00,10
11,Washington,2018-02-27 05:30:00,4
12,Washington,2018-02-27 06:00:00,6
13,Washington,2018-02-27 06:30:00,4
14,Washington,2018-02-27 07:00:00,3
15,Washington,2018-02-27 07:30:00,8
16,Washington,2018-02-27 08:00:00,6
17,Washington,2018-02-27 08:30:00,9
18,Washington,2018-02-27 09:00:00,10
19,Washington,2018-02-27 09:30:00,19
20,Washington,2018-02-27 10:00:00,21
21,Washington,2018-02-27 10:30:00,26
22,Washington,2018-02-27 11:00:00,35
23,Washington,2018-02-27 11:30:00,34
24,Washington,2018-02-27 12:00:00,23
25,Washington,2018-02-27 12:30:00,19
26,Washington,2018-02-27 13:00:00,17
27,Washington,2018-02-27 13:30:00,19
28,Washington,2018-02-27 14:00:00,20
29,Washington,2018-02-27 14:30:00,23
30,Washington,2018-02-27 15:00:00,31
31,Washington,2018-02-27 15:30:00,36
32,Washington,2018-02-27 16:00:00,19
33,Washington,2018-02-27 16:30:00,24
34,Washington,2018-02-27 17:00:00,33
35,Washington,2018-02-27 17:30:00,20
36,Washington,2018-02-27 18:00:00,30
37,Washington,2018-02-27 18:30:00,15
38,Washington,2018-02-27 19:00:00,29
39,Washington,2018-02-27 19:30:00,16
40,Washington,2018-02-27 20:00:00,9
41,Washington,2018-02-27 20:30:00,13
42,Washington,2018-02-27 21:00:00,15
43,Washington,2018-02-27 21:30:00,24
44,Washington,2018-02-27 22:00:00,14
45,Washington,2018-02-27 22:30:00,19
46,Washington,2018-02-27 23:00:00,14
47,Washington,2018-02-27 23:30:00,11
48,Washington,2018-02-28 00:00:00,10
49,Washington,2018-02-28 00:30:00,10
50,Washington,2018-02-28 01:00:00,11
51,Washington,2018-02-28 01:30:00,4
52,Washington,2018-02-28 02:00:00,17
53,Washington,2018-02-28 02:30:00,13
54,Washington,2018-02-28 03:00:00,10
55,Washington,2018-02-28 03:30:00,16
56,Washington,2018-02-28 04:00:00,3
57,Washington,2018-02-28 04:30:00,3
58,Washington,2018-02-28 05:00:00,2
59,Washington,2018-02-28 05:30:00,1
60,Washington,2018-02-28 06:00:00,7
61,Washington,2018-02-28 06:30:00,1
62,Washington,2018-02-28 07:00:00,10
63,Washington,2018-02-28 07:30:00,16
64,Washington,2018-02-28 08:00:00,17
65,Washington,2018-02-28 08:30:00,42
66,Washington,2018-02-28 09:00:00,44
67,Washington,2018-02-28 09:30:00,27
68,Washington,2018-02-28 10:00:00,29
69,Washington,2018-02-28 10:30:00,45
70,Washington,2018-02-28 11:00:00,47
71,Washington,2018-02-28 11:30:00,37
72,Washington,2018-02-28 12:00:00,22
73,Washington,2018-02-28 12:30:00,22
74,Washington,2018-02-28 13:00:00,46
75,Washington,2018-02-28 13:30:00,40
76,Washington,2018-02-28 14:00:00,34
77,Washington,2018-02-28 14:30:00,32
78,Washington,2018-02-28 15:00:00,28
79,Washington,2018-02-28 15:30:00,28
80,Washington,2018-02-28 16:00:00,17
81,Washington,2018-02-28 16:30:00,17
82,Washington,2018-02-28 17:00:00,15
83,Washington,2018-02-28 17:30:00,26
84,Washington,2018-02-28 18:00:00,16
85,Washington,2018-02-28 18:30:00,21
86,Washington,2018-02-28 19:00:00,34
87,Washington,2018-02-28 19:30:00,32
88,Washington,2018-02-28 20:00:00,22
89,Washington,2018-02-28 20:30:00,16
90,Washington,2018-02-28 21:00:00,33
91,Washington,2018-02-28 21:30:00,40
92,Washington,2018-02-28 22:00:00,37
93,Washington,2018-02-28 22:30:00,21
94,Washington,2018-02-28 23:00:00,29
95,Washington,2018-02-28 23:30:00,24
96,Washington,2018-03-01 00:00:00,17
97,Washington,2018-03-01 00:30:00,20
98,Washington,2018-03-01 01:00:00,10
99,Washington,2018-03-01 01:30:00,16
100,Washington,2018-03-01 02:00:00,40
101,Washington,2018-03-01 02:30:00,45
102,Washington,2018-03-01 03:00:00,27
103,Washington,2018-03-01 03:30:00,15
104,Washington,2018-03-01 04:00:00,1
105,Washington,2018-03-01 04:30:00,0
106,Washington,2018-03-01 05:00:00,3
107,Washington,2018-03-01 05:30:00,3
108,Washington,2018-03-01 06:00:00,2
109,Washington,2018-03-01 06:30:00,5
110,Washington,2018-03-01 07:00:00,3
111,Washington,2018-03-01 07:30:00,7
112,Washington,2018-03-01 08:00:00,12
113,Washington,2018-03-01 08:30:00,12
114,Washington,2018-03-01 09:00:00,18
115,Washington,2018-03-01 09:30:00,15
116,Washington,2018-03-01 10:00:00,9
117,Washington,2018-03-01 10:30:00,8
118,Washington,2018-03-01 11:00:00,23
119,Washington,2018-03-01 11:30:00,18
120,Washington,2018-03-01 12:00:00,11
121,Washington,2018-03-01 12:30:00,18
122,Washington,2018-03-01 13:00:00,17
123,Washington,2018-03-01 13:30:00,30
124,Washington,2018-03-01 14:00:00,7
125,Washington,2018-03-01 14:30:00,11
126,Washington,2018-03-01 15:00:00,19
127,Washington,2018-03-01 15:30:00,23
128,Washington,2018-03-01 16:00:00,33
129,Washington,2018-03-01 16:30:00,17
130,Washington,2018-03-01 17:00:00,36
131,Washington,2018-03-01 17:30:00,42
132,Washington,2018-03-01 18:00:00,76
133,Washington,2018-03-01 18:30:00,37
134,Washington,2018-03-01 19:00:00,30
135,Washington,2018-03-01 19:30:00,25
136,Washington,2018-03-01 20:00:00,44
137,Washington,2018-03-01 20:30:00,79
138,Washington,2018-03-01 21:00:00,34
139,Washington,2018-03-01 21:30:00,34
140,Washington,2018-03-01 22:00:00,27
141,Washington,2018-03-01 22:30:00,23
142,Washington,2018-03-01 23:00:00,16
143,Washington,2018-03-01 23:30:00,18
